datetime,temperature,city
2023-02-05,-5.3,Vladivostok
2023-02-06,-7.0,Vladivostok
2023-02-07,-8.4,Vladivostok
2023-02-08,-6.9,Vladivostok
2023-02-09,-8.4,Vladivostok
2023-02-10,-4.0,Vladivostok
2023-02-11,-2.1,Vladivostok
2023-02-12,-2.5,Vladivostok
2023-02-13,-7.5,Vladivostok
2023-02-14,-9.8,Vladivostok
2023-02-15,-12.6,Vladivostok
2023-02-16,-8.5,Vladivostok
2023-02-17,-1.7,Vladivostok
2023-02-18,-2.5,Vladivostok
2023-02-19,-5.7,Vladivostok
2023-02-20,-7.0,Vladivostok
2023-02-21,-7.1,Vladivostok
2023-02-22,-5.4,Vladivostok
2023-02-23,-2.5,Vladivostok
2023-02-24,-4.4,Vladivostok
2023-02-25,-6.1,Vladivostok
2023-02-26,-2.9,Vladivostok
2023-02-27,-0.2,Vladivostok
2023-02-28,3.3,Vladivostok
2023-03-01,-0.3,Vladivostok
2023-03-02,-2.3,Vladivostok
2023-03-03,0.4,Vladivostok
2023-03-04,-1.7,Vladivostok
2023-03-05,0.4,Vladivostok
2023-03-06,1.1,Vladivostok
2023-03-07,2.0,Vladivostok
2023-03-08,2.8,Vladivostok
2023-03-09,0.5,Vladivostok
2023-03-10,0.8,Vladivostok
2023-03-11,1.3,Vladivostok
2023-03-12,-1.4,Vladivostok
2023-03-13,-4.0,Vladivostok
2023-03-14,-2.5,Vladivostok
2023-03-15,2.1,Vladivostok
2023-03-16,-1.4,Vladivostok
2023-03-17,-2.0,Vladivostok
2023-03-18,-1.2,Vladivostok
2023-03-19,0.1,Vladivostok
2023-03-20,0.9,Vladivostok
2023-03-21,1.9,Vladivostok
2023-03-22,2.0,Vladivostok
2023-03-23,5.2,Vladivostok
2023-03-24,0.7,Vladivostok
2023-03-25,0.3,Vladivostok
2023-03-26,0.5,Vladivostok
2023-03-27,1.0,Vladivostok
2023-03-28,2.1,Vladivostok
2023-03-29,0.9,Vladivostok
2023-03-30,3.1,Vladivostok
2023-03-31,6.5,Vladivostok
2023-04-01,4.9,Vladivostok
2023-04-02,3.7,Vladivostok
2023-04-03,3.7,Vladivostok
2023-04-04,7.5,Vladivostok
2023-04-05,5.8,Vladivostok
2023-04-06,6.4,Vladivostok
2023-04-07,5.4,Vladivostok
2023-04-08,2.4,Vladivostok
2023-04-09,3.5,Vladivostok
2023-04-10,5.7,Vladivostok
2023-04-11,6.4,Vladivostok
2023-04-12,4.7,Vladivostok
2023-04-13,4.7,Vladivostok
2023-04-14,6.1,Vladivostok
2023-04-15,5.0,Vladivostok
2023-04-16,5.0,Vladivostok
2023-04-17,5.9,Vladivostok
2023-04-18,4.5,Vladivostok
2023-04-19,6.0,Vladivostok
2023-04-20,9.5,Vladivostok
2023-04-21,8.1,Vladivostok
2023-04-22,7.4,Vladivostok
2023-04-23,6.9,Vladivostok
2023-04-24,7.0,Vladivostok
2023-04-25,6.0,Vladivostok
2023-04-26,6.2,Vladivostok
2023-04-27,6.2,Vladivostok
2023-04-28,8.7,Vladivostok
2023-04-29,6.8,Vladivostok
2023-04-30,8.4,Vladivostok
2023-05-01,8.5,Vladivostok
2023-05-02,8.0,Vladivostok
2023-05-03,9.1,Vladivostok
2023-05-04,11.5,Vladivostok
2023-05-05,10.7,Vladivostok
2023-05-06,11.1,Vladivostok
2023-05-07,9.6,Vladivostok
2023-05-08,9.3,Vladivostok
2023-05-09,11.8,Vladivostok
2023-05-10,10.7,Vladivostok
2023-05-11,10.1,Vladivostok
2023-05-12,9.7,Vladivostok
2023-05-13,10.2,Vladivostok
2023-05-14,10.0,Vladivostok
2023-05-15,9.1,Vladivostok
2023-05-16,10.8,Vladivostok
2023-05-17,13.4,Vladivostok
2023-05-18,13.6,Vladivostok
2023-05-19,11.7,Vladivostok
2023-05-20,9.7,Vladivostok
2023-05-21,13.2,Vladivostok
2023-05-22,14.2,Vladivostok
2023-05-23,12.2,Vladivostok
2023-05-24,11.1,Vladivostok
2023-05-25,13.0,Vladivostok
2023-05-26,12.3,Vladivostok
2023-05-27,12.5,Vladivostok
2023-05-28,14.5,Vladivostok
2023-05-29,16.6,Vladivostok
2023-05-30,14.8,Vladivostok
2023-05-31,15.1,Vladivostok
2023-06-01,15.0,Vladivostok
2023-06-02,15.1,Vladivostok
2023-06-03,16.0,Vladivostok
2023-06-04,14.7,Vladivostok
2023-06-05,16.8,Vladivostok
2023-06-06,15.9,Vladivostok
2023-06-07,16.1,Vladivostok
2023-06-08,16.1,Vladivostok
2023-06-09,15.3,Vladivostok
2023-06-10,14.9,Vladivostok
2023-06-11,15.4,Vladivostok
2023-06-12,15.8,Vladivostok
2023-06-13,15.9,Vladivostok
2023-06-14,14.6,Vladivostok
2023-06-15,15.2,Vladivostok
2023-06-16,16.2,Vladivostok
2023-06-17,20.2,Vladivostok
2023-06-18,20.4,Vladivostok
2023-06-19,18.8,Vladivostok
2023-06-20,18.1,Vladivostok
2023-06-21,17.4,Vladivostok
2023-06-22,17.6,Vladivostok
2023-06-23,18.4,Vladivostok
2023-06-24,17.2,Vladivostok
2023-06-25,17.5,Vladivostok
2023-06-26,17.9,Vladivostok
2023-06-27,18.8,Vladivostok
2023-06-28,19.4,Vladivostok
2023-06-29,18.4,Vladivostok
2023-06-30,18.3,Vladivostok
2023-07-01,17.6,Vladivostok
2023-07-02,20.4,Vladivostok
2023-07-03,18.7,Vladivostok
2023-07-04,19.7,Vladivostok
2023-07-05,18.8,Vladivostok
2023-07-06,20.1,Vladivostok
2023-07-07,19.5,Vladivostok
2023-07-08,19.0,Vladivostok
2023-07-09,19.4,Vladivostok
2023-07-10,19.9,Vladivostok
2023-07-11,21.5,Vladivostok
2023-07-12,22.6,Vladivostok
2023-07-13,22.4,Vladivostok
2023-07-14,19.4,Vladivostok
2023-07-15,20.0,Vladivostok
2023-07-16,19.9,Vladivostok
2023-07-17,20.0,Vladivostok
2023-07-18,20.6,Vladivostok
2023-07-19,20.9,Vladivostok
2023-07-20,20.9,Vladivostok
2023-07-21,20.5,Vladivostok
2023-07-22,21.2,Vladivostok
2023-07-23,21.3,Vladivostok
2023-07-24,22.5,Vladivostok
2023-07-25,21.8,Vladivostok
2023-07-26,21.7,Vladivostok
2023-07-27,23.8,Vladivostok
2023-07-28,24.1,Vladivostok
2023-07-29,25.5,Vladivostok
2023-07-30,25.8,Vladivostok
2023-07-31,25.9,Vladivostok
2023-08-01,25.3,Vladivostok
2023-08-02,25.7,Vladivostok
2023-08-03,25.5,Vladivostok
2023-08-04,24.6,Vladivostok
2023-08-05,22.1,Vladivostok
2023-08-06,21.4,Vladivostok
2023-08-07,21.0,Vladivostok
2023-08-08,21.2,Vladivostok
2023-08-09,22.3,Vladivostok
2023-08-10,21.8,Vladivostok
2023-08-11,22.9,Vladivostok
2023-08-12,22.7,Vladivostok
2023-08-13,20.8,Vladivostok
2023-08-14,21.1,Vladivostok
2023-08-15,22.3,Vladivostok
2023-08-16,23.0,Vladivostok
2023-08-17,24.3,Vladivostok
2023-08-18,22.7,Vladivostok
2023-08-19,23.6,Vladivostok
2023-08-20,23.1,Vladivostok
2023-08-21,22.9,Vladivostok
2023-08-22,24.0,Vladivostok
2023-08-23,23.2,Vladivostok
2023-08-24,24.1,Vladivostok
2023-08-25,21.1,Vladivostok
2023-08-26,21.5,Vladivostok
2023-08-27,22.4,Vladivostok
2023-08-28,21.4,Vladivostok
2023-08-29,19.6,Vladivostok
2023-08-30,22.0,Vladivostok
2023-08-31,21.7,Vladivostok
2023-09-01,21.0,Vladivostok
2023-09-02,21.0,Vladivostok
2023-09-03,21.1,Vladivostok
2023-09-04,21.5,Vladivostok
2023-09-05,21.3,Vladivostok
2023-09-06,20.0,Vladivostok
2023-09-07,20.0,Vladivostok
2023-09-08,20.4,Vladivostok
2023-09-09,21.6,Vladivostok
2023-09-10,20.1,Vladivostok
2023-09-11,20.5,Vladivostok
2023-09-12,20.9,Vladivostok
2023-09-13,17.7,Vladivostok
2023-09-14,18.2,Vladivostok
2023-09-15,19.0,Vladivostok
2023-09-16,20.5,Vladivostok
2023-09-17,18.3,Vladivostok
2023-09-18,19.2,Vladivostok
2023-09-19,20.6,Vladivostok
2023-09-20,15.2,Vladivostok
2023-09-21,14.7,Vladivostok
2023-09-22,17.5,Vladivostok
2023-09-23,15.3,Vladivostok
2023-09-24,16.0,Vladivostok
2023-09-25,17.9,Vladivostok
2023-09-26,18.9,Vladivostok
2023-09-27,18.6,Vladivostok
2023-09-28,19.1,Vladivostok
2023-09-29,17.6,Vladivostok
2023-09-30,17.9,Vladivostok
2023-10-01,14.5,Vladivostok
2023-10-02,14.8,Vladivostok
2023-10-03,15.0,Vladivostok
2023-10-04,17.2,Vladivostok
2023-10-05,12.2,Vladivostok
2023-10-06,12.8,Vladivostok
2023-10-07,12.0,Vladivostok
2023-10-08,12.1,Vladivostok
2023-10-09,14.5,Vladivostok
2023-10-10,12.9,Vladivostok
2023-10-11,11.6,Vladivostok
2023-10-12,12.8,Vladivostok
2023-10-13,14.9,Vladivostok
2023-10-14,13.9,Vladivostok
2023-10-15,14.3,Vladivostok
2023-10-16,10.7,Vladivostok
2023-10-17,9.5,Vladivostok
2023-10-18,12.8,Vladivostok
2023-10-19,11.5,Vladivostok
2023-10-20,7.4,Vladivostok
2023-10-21,4.6,Vladivostok
2023-10-22,7.8,Vladivostok
2023-10-23,7.9,Vladivostok
2023-10-24,9.8,Vladivostok
2023-10-25,10.8,Vladivostok
2023-10-26,11.0,Vladivostok
2023-10-27,6.8,Vladivostok
2023-10-28,6.0,Vladivostok
2023-10-29,6.2,Vladivostok
2023-10-30,10.2,Vladivostok
2023-10-31,10.6,Vladivostok
2023-11-01,8.2,Vladivostok
2023-11-02,6.4,Vladivostok
2023-11-03,7.5,Vladivostok
2023-11-04,0.6,Vladivostok
2023-11-05,5.2,Vladivostok
2023-11-06,4.8,Vladivostok
2023-11-07,0.5,Vladivostok
2023-11-08,-0.1,Vladivostok
2023-11-09,4.8,Vladivostok
2023-11-10,-1.4,Vladivostok
2023-11-11,-3.9,Vladivostok
2023-11-12,-5.0,Vladivostok
2023-11-13,-2.1,Vladivostok
2023-11-14,-1.2,Vladivostok
2023-11-15,1.6,Vladivostok
2023-11-16,5.2,Vladivostok
2023-11-17,1.3,Vladivostok
2023-11-18,0.1,Vladivostok
2023-11-19,-0.6,Vladivostok
2023-11-20,0.9,Vladivostok
2023-11-21,5.6,Vladivostok
2023-11-22,3.3,Vladivostok
2023-11-23,1.9,Vladivostok
2023-11-24,-7.1,Vladivostok
2023-11-25,-7.3,Vladivostok
2023-11-26,-4.0,Vladivostok
2023-11-27,-3.8,Vladivostok
2023-11-28,-7.0,Vladivostok
2023-11-29,-8.3,Vladivostok
2023-11-30,-9.3,Vladivostok
2023-12-01,-7.0,Vladivostok
2023-12-02,-5.2,Vladivostok
2023-12-03,-3.9,Vladivostok
2023-12-04,1.6,Vladivostok
2023-12-05,0.8,Vladivostok
2023-12-06,3.3,Vladivostok
2023-12-07,-1.9,Vladivostok
2023-12-08,-0.3,Vladivostok
2023-12-09,-0.7,Vladivostok
2023-12-10,-8.9,Vladivostok
2023-12-11,-12.0,Vladivostok
2023-12-12,-11.9,Vladivostok
2023-12-13,-11.7,Vladivostok
2023-12-14,-12.0,Vladivostok
2023-12-15,-14.0,Vladivostok
2023-12-16,-15.4,Vladivostok
2023-12-17,-15.2,Vladivostok
2023-12-18,-14.9,Vladivostok
2023-12-19,-15.0,Vladivostok
2023-12-20,-17.6,Vladivostok
2023-12-21,-18.3,Vladivostok
2023-12-22,-16.4,Vladivostok
2023-12-23,-12.9,Vladivostok
2023-12-24,-9.8,Vladivostok
2023-12-25,-8.1,Vladivostok
2023-12-26,-4.5,Vladivostok
2023-12-27,-8.9,Vladivostok
2023-12-28,-5.6,Vladivostok
2023-12-29,-5.2,Vladivostok
2023-12-30,-4.7,Vladivostok
2023-12-31,-10.7,Vladivostok
